,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
56,Under 18,5048,496,458,11,67,225,193,100,282,69,7,1764,3,20,3,110,210,137,42,49,428,4.0,3,60,251,,195,0,504,,311,35.0,3095335.0,NEVADA,2021
57,Total all ages,102790,5701,7283,159,315,1147,4080,1751,4704,702,126,20439,263,955,164,1837,2120,2985,1988,343,8576,40.0,634,11023,1285,,1971,327,34545,,311,,,NEVADA,2021
58,Under 18,1915,35,115,0,12,3,20,25,82,8,0,359,0,10,3,13,138,4,0,17,145,0.0,5,24,198,,54,0,793,,2,181.0,1204875.0,NEW HAMPSHIRE,2021
59,Total all ages,32486,513,2094,6,65,78,364,178,1782,121,13,3888,124,326,46,326,945,191,1,115,3594,1.0,135,3596,1491,,732,98,14268,,2,,,NEW HAMPSHIRE,2021
60,Under 18,705,156,81,0,4,90,62,12,51,15,3,53,0,1,0,140,8,101,1,2,33,0.0,0,6,2,,30,0,90,,1,64.0,1650076.0,NEW JERSEY,2021
61,Total all ages,15032,1346,1616,39,37,274,996,262,1237,102,15,2532,54,90,22,428,367,825,77,35,1764,2.0,322,1680,36,,423,24,3388,,1,,,NEW JERSEY,2021
62,Under 18,459,63,40,2,1,7,53,11,19,10,0,128,1,0,1,8,15,13,0,2,38,0.0,5,19,18,,39,0,69,,0,24.0,985537.0,NEW MEXICO,2021
63,Total all ages,25409,2028,1921,30,19,151,1828,389,1335,178,19,5756,20,99,54,542,1045,316,12,20,1615,0.0,650,2414,685,,673,45,7514,,0,,,NEW MEXICO,2021
64,Under 18,1610,185,392,2,22,63,98,65,216,99,12,291,2,5,1,50,300,73,0,41,29,0.0,0,11,17,,17,0,196,,0,93.0,3453145.0,NEW YORK,2021
65,Total all ages,40069,2428,8306,41,151,435,1801,1032,6673,520,81,5796,230,276,16,465,3207,829,14,214,3502,7.0,39,3589,72,,551,15,10513,,0,,,NEW YORK,2021
66,Under 18,7249,619,1376,40,32,233,314,358,739,262,17,1593,6,65,19,328,318,299,0,19,570,0.0,4,101,55,,413,0,1434,,30,312.0,9268170.0,NORTH CAROLINA,2021
67,Total all ages,225175,10186,22604,561,235,1722,7668,5022,16041,1315,226,21992,481,2317,591,3474,2845,4167,83,419,34780,24.0,2871,13365,1412,,2957,214,100363,,30,,,NORTH CAROLINA,2021
68,Under 18,4047,68,396,0,14,2,52,42,301,50,3,625,0,26,1,36,194,16,0,24,447,0.0,210,32,334,,654,0,905,,79,100.0,766153.0,NORTH DAKOTA,2021
69,Total all ages,28662,745,2470,9,50,54,632,322,1890,225,33,2972,108,538,28,343,510,247,6,86,4120,2.0,330,4014,2068,,1300,0,8696,,79,,,NORTH DAKOTA,2021
70,Under 18,12924,660,1357,28,42,254,336,228,830,258,41,3201,8,74,0,327,602,346,0,45,590,0.0,3,49,386,,1145,0,3928,,203,356.0,8743840.0,OHIO,2021
71,Total all ages,136529,6265,16645,268,298,1116,4583,2348,13234,935,128,27807,156,973,4,1546,3017,5353,337,291,17839,6.0,412,9891,3305,,6908,5,35566,,203,,,OHIO,2021
72,Under 18,4423,296,689,21,16,50,209,162,357,162,8,657,2,14,6,91,199,161,2,10,655,0.0,1,53,49,,363,0,964,,211,428.0,3789679.0,OKLAHOMA,2021
73,Total all ages,73965,3912,10602,132,120,341,3319,2122,6931,1406,143,7948,234,652,129,1489,1520,2653,180,131,11357,6.0,291,8526,645,,1675,92,21712,,211,,,OKLAHOMA,2021
74,Under 18,3554,298,571,4,27,75,192,73,393,87,18,666,2,22,1,18,340,58,0,53,345,0.0,1,92,217,,262,0,538,,70,149.0,3867155.0,OREGON,2021
75,Total all ages,91146,5239,13488,73,210,884,4072,1832,9033,2168,455,9638,343,1137,40,792,4010,2140,213,343,4110,1.0,191,11527,868,,4511,12,32473,,70,,,OREGON,2021
76,Under 18,404,12,56,0,2,6,4,15,36,3,2,110,2,3,0,5,39,4,0,1,26,0.0,0,4,8,,68,0,59,,7,24.0,408819.0,PENNSYLVANIA,2021
77,Total all ages,6092,209,739,4,14,38,153,80,626,26,7,967,25,102,5,22,161,100,1,12,820,1.0,28,1144,40,,467,21,1221,,7,,,PENNSYLVANIA,2021
78,Under 18,1539,89,173,0,13,17,59,55,61,44,13,267,4,5,1,32,143,80,0,2,78,0.0,20,9,61,,259,0,304,,12,46.0,1094546.0,RHODE ISLAND,2021
79,Total all ages,21800,873,1550,14,80,86,693,350,1007,164,29,3366,117,252,49,264,879,477,4,62,1637,1.0,91,2799,402,,1545,0,7420,,12,,,RHODE ISLAND,2021
80,Under 18,6970,536,980,35,60,147,294,172,686,114,8,1935,6,42,6,133,325,425,0,41,987,0.0,16,25,151,,476,0,870,,16,178.0,4731543.0,SOUTH CAROLINA,2021
81,Total all ages,119278,6834,15932,444,424,812,5154,2346,12389,1082,115,14954,737,2086,187,2214,2836,3441,60,259,25233,49.0,812,7037,3103,,6472,375,26641,,16,,,SOUTH CAROLINA,2021
82,Under 18,3542,106,227,0,7,7,92,20,153,43,11,452,0,17,3,21,108,88,3,13,449,0.0,220,107,306,,559,0,843,,20,61.0,679305.0,SOUTH DAKOTA,2021
83,Total all ages,44544,1175,1194,9,37,44,1085,191,733,248,22,3969,128,550,11,152,352,321,8,41,5402,3.0,812,6143,1405,,3390,598,18870,,20,,,SOUTH DAKOTA,2021
84,Under 18,14622,989,1746,33,53,252,651,256,949,515,26,3506,17,96,22,156,696,466,0,98,1792,1.0,18,100,221,,918,0,3393,,387,273.0,6716048.0,TENNESSEE,2021
85,Total all ages,255863,13174,25096,380,361,1190,11243,3748,17586,3587,175,27343,1376,3434,399,1931,4117,3486,363,481,41579,39.0,2129,17916,1928,,4379,4,106302,,387,,,TENNESSEE,2021
86,Under 18,33195,3030,4498,132,294,921,1683,704,2866,870,58,8090,70,206,18,95,922,1079,5,158,4743,1.0,111,330,543,,707,0,8133,,456,922.0,28232533.0,TEXAS,2021
87,Total all ages,524958,30998,51046,1108,1758,4616,23516,7241,36586,6681,538,80235,2045,5486,211,1015,7216,16960,1918,865,83839,152.0,2140,62233,4992,,5474,710,166967,,456,,,TEXAS,2021
88,Under 18,7520,293,1380,8,96,31,158,73,1197,81,29,975,4,36,3,61,637,80,1,118,1358,0.0,21,89,403,,189,0,1585,,287,105.0,2934855.0,UTAH,2021
89,Total all ages,82552,2710,10266,55,358,319,1978,723,9083,374,86,8459,402,644,17,938,2907,798,50,414,13712,0.0,1457,7491,2426,,2068,13,27493,,287,,,UTAH,2021
90,Under 18,523,40,45,0,9,0,31,5,24,11,5,136,3,8,0,2,153,2,0,3,15,0.0,4,8,20,,33,0,51,,0,78.0,641185.0,VERMONT,2021
91,Total all ages,9523,808,1205,9,72,34,693,189,915,76,25,1449,34,138,36,80,482,30,5,24,757,0.0,160,1346,32,,445,0,2492,,0,,,VERMONT,2021
92,Under 18,6259,458,930,13,65,137,243,163,613,126,28,1305,6,54,20,112,307,248,0,54,308,0.0,40,56,139,,54,0,1925,,243,340.0,8599971.0,VIRGINIA,2021
93,Total all ages,186270,6693,17681,379,483,957,4874,1583,14925,1010,163,27361,810,3699,627,734,3166,4474,253,557,14568,12.0,1118,16624,1152,,2358,8,84132,,243,,,VIRGINIA,2021
94,Under 18,4186,537,628,11,71,146,309,182,350,80,16,1506,0,7,0,55,375,123,0,54,94,0.0,4,118,100,,54,0,528,,3,211.0,7459711.0,WASHINGTON,2021
95,Total all ages,117132,7935,16892,165,463,1429,5878,4208,11299,1124,261,21887,287,634,16,2839,4407,1438,133,409,1921,2.0,127,20399,439,,1432,148,35784,,3,,,WASHINGTON,2021
96,Under 18,438,31,35,2,3,2,24,5,21,7,2,153,0,0,1,2,19,6,0,3,57,0.0,0,6,7,,15,0,103,,0,122.0,1210067.0,WEST VIRGINIA,2021
97,Total all ages,26845,1196,3109,32,77,41,1046,526,2362,176,45,3156,107,156,13,321,357,315,40,54,5943,0.0,143,2213,186,,545,17,8974,,0,,,WEST VIRGINIA,2021
98,Under 18,19852,769,1921,21,209,159,380,200,1248,442,31,1793,13,91,46,454,1091,322,3,288,1613,0.0,172,144,912,,3900,0,5559,,761,267.0,5238884.0,WISCONSIN,2021
99,Total all ages,157256,6777,14429,187,834,711,5045,1250,11896,1165,118,14373,388,1312,266,1106,4360,3227,231,878,19456,1.0,1399,17052,5087,,20713,207,45232,,761,,,WISCONSIN,2021
100,Under 18,1746,28,175,1,4,1,22,13,130,29,3,274,1,4,0,0,85,12,0,4,247,0.0,7,12,248,,112,0,475,,62,44.0,427908.0,WYOMING,2021
101,Total all ages,12739,325,970,15,37,12,261,115,733,109,13,1455,12,35,0,10,289,40,4,26,2460,0.0,81,1969,890,,668,3,3440,,62,,,WYOMING,2021
