,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
13,CONNECTICUT,Total all ages,100211,3844,14074,85,190,1082,2487,1998,11076,926,74,18621,649,912,144,693,2188,1242,183,368,9174,7,1500,8228,159,5,10579,24,27614,0,3,,,CONNECTICUT,2017
14,DELAWARE,Under 18,3360,284,661,1,18,84,181,146,462,35,18,911,0,60,4,73,154,82,0,37,335,1,0,0,71,3,287,0,364,0,33,62.0,961939.0,DELAWARE,2017
15,DELAWARE,Total all ages,31549,1989,6156,42,69,476,1402,950,5038,136,32,6225,283,1837,221,401,749,338,81,122,4015,20,176,347,635,377,1339,226,5979,0,33,,,DELAWARE,2017
16,DISTRICT OF COLUMBIA6,Under 18,594,80,39,0,0,60,20,0,39,0,0,79,1,2,0,9,12,15,0,0,17,0,0,0,2,0,32,0,306,0,0,2.0,0.0,WASHINGTON DC,2017
17,DISTRICT OF COLUMBIA6,Total all ages,17986,133,101,0,0,84,49,1,95,5,0,333,2,8,0,21,54,47,0,13,237,0,4,22,1174,72,284,10,15471,0,0,,,WASHINGTON DC,2017
18,"FLORIDA5, 7",Under 18,55359,3829,15812,43,263,1545,1978,4066,9081,2617,48,8456,46,423,20,184,1178,864,11,250,5497,0,0,96,529,0,1,0,18158,0,5,605.0,20971216.0,FLORIDA,2017
19,"FLORIDA5, 7",Total all ages,713085,36251,91063,635,1873,6398,27345,16483,66033,8306,241,78943,2040,11613,1057,1841,6371,6306,2468,3001,124487,71,4,32727,11739,37,33,0,303028,0,5,,,FLORIDA,2017
20,GEORGIA,Under 18,19766,1206,5177,46,42,396,722,996,3697,457,27,2712,48,110,9,373,567,412,4,313,2127,6,129,99,260,30,1637,129,4080,7,331,389.0,8205589.0,GEORGIA,2017
21,GEORGIA,Total all ages,230640,10843,31080,380,284,1697,8482,4035,25397,1499,149,20268,2241,3028,292,2881,3633,3317,379,2434,40608,58,2805,17436,3458,1457,13334,1285,69459,13,331,,,GEORGIA,2017
22,HAWAII,Under 18,3084,135,597,2,15,56,62,60,494,36,7,440,3,2,1,48,75,13,0,32,436,0,0,29,76,0,87,0,893,0,217,4.0,1427538.0,HAWAII,2017
23,HAWAII,Total all ages,35618,1227,3748,36,114,270,807,436,2865,424,23,3837,76,147,11,414,426,247,120,155,2724,156,13,5968,467,0,919,0,14744,2,217,,,HAWAII,2017
24,IDAHO,Under 18,6260,184,1246,0,49,19,116,172,974,80,20,744,3,31,3,18,236,95,0,67,969,0,13,48,198,31,254,2,1979,2,137,82.0,1534173.0,IDAHO,2017
25,IDAHO,Total all ages,51686,1441,5192,10,120,70,1241,790,4138,220,44,4513,127,299,43,170,756,276,13,188,8432,0,636,5458,1010,566,1582,15,20826,6,137,,,IDAHO,2017
26,ILLINOIS8,Under 18,8587,842,2593,28,18,603,193,195,1084,1301,13,1411,1,8,0,25,288,693,0,16,845,60,5,1,22,0,669,0,1057,0,51,2.0,2852941.0,ILLINOIS,2017
27,ILLINOIS8,Total all ages,64552,3823,11653,272,259,1464,1828,882,7599,3113,59,13083,108,224,1,71,2076,4290,141,235,10915,457,277,2357,131,0,2988,18,11653,0,51,,,ILLINOIS,2017
28,INDIANA,Under 18,11369,842,2724,17,48,218,559,301,2104,294,25,1731,15,63,7,35,349,207,4,123,1391,0,209,60,653,39,597,29,2077,4,210,201.0,4267407.0,INDIANA,2017
29,INDIANA,Total all ages,147199,8345,17546,182,208,1386,6569,2016,13829,1629,72,11260,1234,1885,266,343,1200,2283,305,673,26364,14,1059,13263,3792,3820,3453,347,49499,38,210,,,INDIANA,2017
30,IOWA,Under 18,10088,445,2607,3,41,94,307,407,1918,248,34,1518,27,49,12,34,652,131,1,47,902,0,3,83,661,75,991,0,1598,0,252,190.0,2686879.0,IOWA,2017
31,IOWA,Total all ages,94485,4709,12280,53,192,341,4123,1594,10029,565,92,7296,664,743,79,212,1995,900,46,125,9645,7,1059,10082,3733,5793,3574,17,31274,0,252,,,IOWA,2017
32,KANSAS,Under 18,3948,185,683,3,17,27,138,102,490,71,20,742,4,22,8,48,243,54,0,43,701,0,6,61,353,1,156,0,638,0,0,225.0,1900556.0,KANSAS,2017
33,KANSAS,Total all ages,61144,2198,4958,62,112,204,1820,608,3887,412,51,8456,263,580,111,584,1697,742,127,167,9594,0,228,5443,2353,138,1613,0,21892,0,0,,,KANSAS,2017
34,KENTUCKY,Under 18,5273,393,1414,26,24,212,131,326,911,171,6,1029,13,16,8,347,164,94,0,39,533,0,5,41,8,44,177,0,946,0,2,330.0,4329947.0,KENTUCKY,2017
35,KENTUCKY,Total all ages,219872,3398,17117,185,212,987,2014,2891,13271,894,61,12015,1102,1370,390,2992,1167,967,166,292,26397,3,5216,15143,72,13722,3949,70,114322,0,2,,,KENTUCKY,2017
36,LOUISIANA,Under 18,17571,1149,4603,36,95,265,753,1173,2914,475,41,3124,12,33,9,258,589,398,8,168,1361,0,114,26,191,30,2307,32,2909,4,246,170.0,3747239.0,LOUISIANA,2017
37,LOUISIANA,Total all ages,166867,9494,29489,359,391,1195,7549,5260,22413,1692,124,18935,762,1519,146,2100,2785,3234,412,841,25770,41,1856,6117,2869,2965,7332,243,49696,15,246,,,LOUISIANA,2017
38,MAINE,Under 18,3046,57,779,0,14,12,31,131,596,28,24,505,3,11,2,10,225,6,0,35,350,0,6,39,386,4,83,0,528,0,17,135.0,1335907.0,MAINE,2017
39,MAINE,Total all ages,40675,780,5578,14,70,128,568,607,4683,225,63,4889,199,518,41,93,1067,130,119,182,3409,3,122,5835,2181,20,1257,0,14227,8,17,,,MAINE,2017
40,MARYLAND,Under 18,17653,2056,4510,14,60,1131,851,937,2839,639,95,3922,15,51,4,6,845,598,8,147,1948,41,9,45,233,2,821,5,2299,23,65,139.0,5488907.0,MARYLAND,2017
41,MARYLAND,Total all ages,165877,9692,21726,286,352,3299,5755,4323,15337,1756,310,18261,423,893,77,73,2332,3215,748,578,28992,117,860,14385,3755,29,4202,82,55260,112,65,,,MARYLAND,2017
42,MASSACHUSETTS,Under 18,6732,793,1179,6,23,176,588,280,780,90,29,1562,16,17,3,134,345,169,1,52,215,1,45,29,231,24,447,0,1467,0,2,321.0,6522173.0,MASSACHUSETTS,2017
43,MASSACHUSETTS,Total all ages,118676,9257,13671,62,296,1211,7688,2141,10837,608,85,19372,455,1271,122,1202,2534,1328,530,425,9791,6,1406,8665,1565,5187,4359,8,37518,2,2,,,MASSACHUSETTS,2017
44,MICHIGAN,Under 18,16474,1094,4206,16,133,282,663,634,3167,361,44,2620,30,220,25,243,535,289,2,133,2126,3,1,200,1137,5,534,0,2752,0,319,614.0,9789634.0,MICHIGAN,2017
45,MICHIGAN,Total all ages,244417,11798,24692,261,750,1306,9481,3190,19983,1280,239,27788,650,3931,1174,1806,2815,4590,233,626,33090,42,2766,26558,8729,349,5989,139,86333,0,319,,,MICHIGAN,2017
46,MINNESOTA,Under 18,20871,969,4981,12,122,384,451,475,4071,399,36,2403,32,196,1,329,931,433,2,178,1893,0,14,176,1816,0,2053,0,3595,0,869,374.0,5379142.0,MINNESOTA,2017
47,MINNESOTA,Total all ages,143702,5769,26025,120,632,1176,3841,2298,22105,1521,101,14363,1465,2664,23,1995,3056,2208,359,1055,19281,16,569,19171,7535,2,8665,42,28570,0,869,,,MINNESOTA,2017
48,MISSISSIPPI,Under 18,3485,138,836,5,7,75,51,180,600,50,6,449,2,9,4,76,70,84,0,16,285,1,254,55,33,22,363,12,684,2,90,64.0,1385928.0,MISSISSIPPI,2017
49,MISSISSIPPI,Total all ages,78239,1492,8677,109,58,403,922,1249,7034,350,44,6393,333,854,383,815,678,1110,25,198,10268,67,2298,7642,971,3888,4070,105,27846,36,90,,,MISSISSIPPI,2017
50,MISSOURI,Under 18,17518,906,3790,25,125,265,491,550,2955,251,34,2885,16,73,16,256,847,277,6,265,2266,1,88,147,707,12,1176,4,3136,0,644,361.0,5626134.0,MISSOURI,2017
51,MISSOURI,Total all ages,228042,9371,31387,342,551,1553,6925,3815,24973,2473,126,21141,1239,1950,290,2876,3868,3537,368,1242,39979,96,2548,18386,4061,306,7059,1096,76597,1,644,,,MISSOURI,2017
52,MONTANA,Under 18,4313,113,881,0,11,15,87,48,778,46,9,612,3,5,0,6,246,17,0,23,385,0,40,44,575,0,398,0,659,0,306,100.0,1037591.0,MONTANA,2017
53,MONTANA,Total all ages,30824,1262,4965,19,47,91,1105,275,4401,252,37,4390,106,254,30,98,931,85,9,102,2872,0,253,4344,2023,0,2475,10,6309,0,306,,,MONTANA,2017
54,NEBRASKA,Under 18,599,27,83,0,2,0,25,10,58,15,0,87,0,1,0,2,34,4,0,3,87,0,1,19,90,12,38,0,95,0,16,54.0,233437.0,NEBRASKA,2017
55,NEBRASKA,Total all ages,5708,161,523,1,12,5,143,53,424,44,2,617,18,67,3,35,95,65,1,28,843,0,76,785,416,178,282,0,1499,0,16,,,NEBRASKA,2017
56,NEVADA,Under 18,7672,924,1159,4,54,319,547,337,700,108,14,1720,40,31,2,166,217,171,44,47,741,0,6,50,372,4,194,64,1304,4,412,51.0,2680733.0,NEVADA,2017
57,NEVADA,Total all ages,112004,6506,8946,157,321,1388,4640,2572,5658,671,45,15438,488,1404,201,1681,1365,1885,2532,695,8923,9,702,9470,1950,241,1353,1648,45968,187,412,,,NEVADA,2017
58,NEW HAMPSHIRE,Under 18,3529,67,373,1,0,17,49,39,300,23,11,557,5,19,6,33,194,5,0,24,507,0,10,36,371,313,133,0,865,0,11,176.0,1292643.0,NEW HAMPSHIRE,2017
59,NEW HAMPSHIRE,Total all ages,47516,896,3642,8,52,168,668,319,3143,152,28,5306,292,787,120,503,1247,139,79,99,7656,12,202,4805,2489,4210,1001,82,13938,0,11,,,NEW HAMPSHIRE,2017
60,NEW JERSEY,Under 18,15950,1123,2709,6,62,510,545,478,2093,89,49,1312,39,48,12,456,658,566,9,157,3535,30,27,76,682,0,1281,25,2613,0,592,490.0,8521517.0,NEW JERSEY,2017
61,NEW JERSEY,Total all ages,281631,8577,24807,149,333,2472,5623,3910,20274,494,129,20175,1020,3478,269,2511,3297,3838,900,916,61989,158,8915,21574,2876,0,11629,299,103811,0,592,,,NEW JERSEY,2017
62,NEW MEXICO,Under 18,1303,172,220,0,3,21,148,46,154,19,1,249,2,3,1,51,35,14,1,2,99,0,11,25,31,28,41,0,318,0,0,23.0,823584.0,NEW MEXICO,2017
63,NEW MEXICO,Total all ages,40552,2708,4340,25,43,344,2296,613,3546,170,11,6223,138,230,74,1165,684,179,35,31,2377,0,680,3283,473,1578,973,64,15300,17,0,,,NEW MEXICO,2017
64,NEW YORK5,Under 18,18426,1508,4873,22,180,623,683,877,3542,358,96,2413,82,179,3,417,1880,330,6,322,3344,14,24,82,198,0,504,9,2238,0,0,510.0,10121830.0,NEW YORK,2017
65,NEW YORK5,Total all ages,259257,12440,43759,264,970,3090,8116,5200,36562,1713,284,27397,2616,4086,48,3183,13559,3468,672,1662,69904,102,550,27136,1450,0,4867,618,41740,0,0,,,NEW YORK,2017
66,NORTH CAROLINA,Under 18,15757,947,4335,31,18,465,433,1271,2822,214,28,2896,37,174,20,392,629,546,6,90,1519,2,18,190,278,0,1173,0,2487,0,18,213.0,6457952.0,NORTH CAROLINA,2017
67,NORTH CAROLINA,Total all ages,240365,11630,34918,464,229,2571,8366,7836,25826,1066,190,31024,1326,6720,1185,3356,3958,5147,374,806,25902,61,4294,30277,1926,0,5425,5,72013,0,18,,,NORTH CAROLINA,2017
68,NORTH DAKOTA,Under 18,4581,69,653,0,12,8,49,59,528,61,5,439,5,16,7,26,145,29,2,42,476,0,171,37,554,4,706,0,1093,0,107,106.0,749938.0,NORTH DAKOTA,2017
69,NORTH DAKOTA,Total all ages,39944,855,3787,6,61,69,719,352,3128,291,16,2943,156,421,53,311,479,313,38,120,5646,1,654,6318,3086,384,2492,7,11772,1,107,,,NORTH DAKOTA,2017
70,OHIO,Under 18,22865,870,4203,16,78,348,428,728,3180,222,73,4341,33,139,2,454,960,327,4,137,1973,2,212,64,617,27,1745,0,6212,1,542,453.0,9362266.0,OHIO,2017
71,OHIO,Total all ages,224423,8084,33068,224,406,1987,5467,4115,27904,764,285,31736,918,2179,21,2800,3454,3681,1122,516,37022,4,1714,15032,5196,4327,12296,208,60497,6,542,,,OHIO,2017
72,OKLAHOMA,Under 18,8750,479,2064,16,26,138,299,398,1532,106,28,920,11,35,25,301,289,145,0,42,1280,3,20,72,111,211,538,0,1342,0,862,389.0,3789847.0,OKLAHOMA,2017
73,OKLAHOMA,Total all ages,106731,4820,14352,161,179,719,3761,2267,11226,713,146,8226,607,1489,408,2843,1270,2207,15,458,20024,51,539,9599,1394,12799,2096,58,22612,2,862,,,OKLAHOMA,2017
74,OREGON,Under 18,8955,349,1833,8,24,106,211,151,1486,141,55,1045,12,44,2,25,678,107,2,68,1796,0,0,97,777,0,592,0,1089,0,439,143.0,3745046.0,OREGON,2017
75,OREGON,Total all ages,124851,3687,17578,65,166,696,2760,1376,14118,1883,201,10263,648,1868,49,587,3976,2077,364,436,15682,0,333,13273,3658,18,6594,22,43299,0,439,,,OREGON,2017
76,PENNSYLVANIA,Under 18,43800,3049,5821,19,238,1071,1721,952,4355,426,88,5184,64,799,20,336,1779,848,3,495,3524,0,51,349,2426,191,8290,38,3810,0,6723,1383.0,12552431.0,PENNSYLVANIA,2017
77,PENNSYLVANIA,Total all ages,372570,20385,50437,464,1171,4891,13859,6123,41549,2409,356,42271,2414,7703,478,2392,7196,5056,1755,2211,63306,53,2034,45128,9446,20941,35630,298,46713,0,6723,,,PENNSYLVANIA,2017
78,RHODE ISLAND,Under 18,2218,109,373,1,16,38,54,87,251,20,15,406,3,16,3,37,188,105,0,20,111,0,27,5,68,0,422,0,314,0,11,41.0,943094.0,RHODE ISLAND,2017
79,RHODE ISLAND,Total all ages,22707,864,2458,10,77,150,627,533,1773,126,26,3638,74,425,102,287,932,379,71,76,1792,9,62,1788,394,0,1979,1,7365,0,11,,,RHODE ISLAND,2017
80,SOUTH CAROLINA,Under 18,12279,616,2881,17,69,214,316,537,2184,143,17,2162,13,68,17,143,451,435,5,56,2090,0,8,93,297,69,1318,0,1525,0,32,346.0,3920047.0,SOUTH CAROLINA,2017
81,SOUTH CAROLINA,Total all ages,153573,6500,23848,253,378,1133,4736,3149,19592,1006,101,14146,1138,3200,358,1952,2552,2247,381,295,32266,39,1139,15446,4239,6113,8330,484,28868,0,32,,,SOUTH CAROLINA,2017
82,SOUTH DAKOTA,Under 18,6656,131,809,1,8,13,109,108,591,106,4,544,5,53,2,49,211,74,0,28,979,0,653,88,804,220,576,1,1247,11,171,75.0,729800.0,SOUTH DAKOTA,2017
83,SOUTH DAKOTA,Total all ages,63625,1748,3283,16,79,88,1565,445,2512,311,15,4931,102,731,37,225,624,334,33,92,8900,1,2361,8164,4999,6939,3596,565,15720,69,171,,,SOUTH DAKOTA,2017
84,TENNESSEE,Under 18,22282,1459,4399,30,49,422,958,754,3020,573,52,4118,45,131,16,133,1017,408,0,133,2591,12,47,109,532,129,1793,0,3996,0,1214,449.0,6505139.0,TENNESSEE,2017
85,TENNESSEE,Total all ages,350912,14682,38394,358,351,1839,12134,5143,29649,3422,180,32076,1802,5336,664,1496,4571,3081,955,621,47826,148,4289,19495,3836,15073,6749,5,148599,0,1214,,,TENNESSEE,2017
86,TEXAS,Under 18,57417,3723,12398,63,355,1477,1828,2156,9144,995,103,10027,107,222,109,192,1558,858,40,459,9997,17,190,419,1187,783,1284,30,11516,0,2301,909.0,25980682.0,TEXAS,2017
87,TEXAS,Total all ages,745719,30372,78504,839,2247,6519,20767,10570,62387,5093,454,90763,4287,5764,794,899,7178,12954,4482,2804,136796,355,4005,64784,8775,62434,8477,872,218119,0,2301,,,TEXAS,2017
88,UTAH,Under 18,11259,304,2390,1,64,68,171,149,2086,125,30,1110,10,43,4,106,652,135,10,217,1696,0,28,143,708,66,421,18,2842,0,356,114.0,2646000.0,UTAH,2017
89,UTAH,Total all ages,104741,2252,14526,48,204,404,1596,882,13064,519,61,7870,746,957,32,1225,2364,896,379,656,17556,4,1426,7980,3570,2672,2201,38,37023,12,356,,,UTAH,2017
90,VERMONT,Under 18,800,51,137,0,14,1,36,33,94,6,4,145,2,4,1,6,92,10,0,7,49,0,4,18,49,0,100,0,125,0,0,72.0,600391.0,VERMONT,2017
91,VERMONT,Total all ages,13969,664,1683,10,62,31,561,268,1370,29,16,1341,56,238,43,103,380,28,4,41,1137,0,174,2450,112,0,823,0,4692,0,0,,,VERMONT,2017
92,VIRGINIA,Under 18,16417,709,3553,24,59,321,305,463,2862,175,53,2648,32,133,32,153,691,318,5,137,2217,1,23,70,574,75,501,0,3804,0,741,373.0,7782044.0,VIRGINIA,2017
93,VIRGINIA,Total all ages,258878,7068,26582,337,430,1633,4668,2698,22662,1032,190,30360,1700,4845,1371,994,3621,4099,617,653,42060,25,1664,19323,4852,17864,2870,177,87392,0,741,,,VIRGINIA,2017
94,WASHINGTON,Under 18,11818,890,2692,17,77,334,462,480,1986,180,46,2939,12,28,1,193,856,225,7,123,1224,0,9,167,683,10,190,0,1569,0,0,222.0,6678694.0,WASHINGTON,2017
95,WASHINGTON,Total all ages,173344,8472,27055,158,515,1887,5912,4723,20526,1637,169,25114,862,1056,53,3438,5178,1793,650,587,12027,0,359,25392,2018,78,2402,124,56680,6,0,,,WASHINGTON,2017
96,WEST VIRGINIA,Under 18,1033,57,162,0,9,6,42,34,104,13,11,215,3,3,3,8,44,14,0,5,120,0,1,16,24,2,30,0,317,0,9,178.0,1150294.0,WEST VIRGINIA,2017
97,WEST VIRGINIA,Total all ages,39296,1832,5077,31,103,123,1575,751,4018,272,36,4320,258,486,116,410,634,342,109,88,7277,0,149,4282,890,822,751,27,11417,0,9,,,WEST VIRGINIA,2017
98,WISCONSIN,Under 18,39393,1067,6140,14,212,319,522,652,4875,555,58,2633,31,115,27,469,1836,517,13,695,3213,4,129,239,2271,0,7282,24,10921,0,1767,427.0,5700831.0,WISCONSIN,2017
99,WISCONSIN,Total all ages,252142,8023,29429,203,900,1447,5473,2652,25214,1368,195,17314,920,2669,325,1474,6206,3449,451,1928,30781,37,2493,23541,12228,0,32743,809,75555,0,1767,,,WISCONSIN,2017
100,WYOMING,Under 18,3046,35,449,0,6,3,26,26,379,34,10,417,1,3,5,15,150,31,0,11,501,0,6,28,416,16,106,0,761,5,90,53.0,543983.0,WYOMING,2017
101,WYOMING,Total all ages,27914,612,2374,9,43,31,529,215,1990,130,39,1996,49,158,18,94,492,78,48,107,4612,0,344,3253,1980,2412,810,36,8345,6,90,,,WYOMING,2017
